,message
840,"В Крыму весна уже полностью вступает в свои права. Приглашаем всех провести идеальный день в Шампанерии “Золотая Балка” и насладиться цветением миндаля в нашем парке🌸
⠀
Заглянув к нам в гости, вы сможете провести день, наполненный яркими впечатлениями и новыми открытиями: винные туры и увлекательные экскурсии, изысканные дегустации вин и гастрономические сэты.
⠀
Время работы дегустационного зала на период с 1 марта по 30 апреля: с 10.00 до 18.00. 
Узнать все подробности можно по телефону: 8-800-500-0650 или на нашем сайте ZB-tour.ru 🥂
#золотаябалка #zolotayabalka"
841,"По данным нашего винного исследовательского центра, открытие #ZBSpumante начинает вечеринку, где бы вы ни находились🥂 Предлагаем проверить этот факт уже сегодня вечером! #zolotayabalka #золотаябалка"
842,"«Золотая Балка» не покупает импортный виноматериал, а инвестирует в развитие виноградников, и делает вино из собственного винограда. 
Поэтому наши вина имеют характерный для Севастопольского терруара вкус и неповторимый шарм🥂
⠀
Но, увы, на рынке работают и другие производители. Они закупают «балк» (привозной виноматериал), делают «наливайку» и выдают за местное вино. Крымское или Севастопольское. Дискредитируют отечественный продукт вино в целом.
⠀
Отсюда рождаются стереотипы. Мол, российское вино – это вовсе не вино, а «набодяженный» «шмурдяк», произведенный из виноматериалов, и пить его нельзя. Это стереотип, увы, формируют сами недобросовестные производители. И мы бы очень хотели, чтобы государство нас защитило от спекуляции использования названий «Крым» и «Севастополь»🍾 А покупателей застраховало от обмана.
⠀
Госдума сейчас готовится рассмотреть Законопроект о защите виноградарства и виноделия во втором чтении. Закон должен быть написан так, чтобы покупатель мог четко определить, какое вино произведено из российского винограда, а какое из привозного виноматериала.
⠀
Конечно, не все готовы пойти по пути Золотой Балки: сначала посадить, а потом еще 5 лет терпеливо ждать и ухаживать за молодыми виноградниками, прежде, чем получить первый урожай,  из которого почти только через год после сбора получится первое вино. Не все готовы отказаться от быстрой прибыли ради имиджа. Своего и всего российского виноделия🍇
⠀
Мы готовы. «Золотая Балка» пример того, что это возможно. А без этого доверия потребителя не вернуть! #золотаябалка #zolotayabalka"
843,"Создание премиального игристого, изготовленного по классической технологии Cuveé de Vitmer начинается с уникального терруара, в условиях которого рождается лучший виноград🍇
⠀
С первых нот аромат Cuveé de Vitmer впечатляет своей многогранностью, а после первого глотка премиальное игристое дарит истинное наслаждение🥂#zolotayabalka #золотаябалка"
844,"Вечер перестает быть томным в компании с #ZBWine Bastardo, превращаясь в приятное и размеренное времяпрепровождение🍷 #золотаябалка #zolotayabalka"
845,"Продолжаем знакомить вас с нашей игристой премьерой - премиальным вином «Black Prince»!
⠀
Процесс рождения премиального игристого занимает не один год.
Сначала виноград собирается вручную в специальные корзины, которые сразу же транспортируются на производство. Это помогает нам получить чистое, насыщенное натуральными сахарами и кислотами кюве, которое более 2 лет выдерживается на осадке🖤
⠀
За это время игристое приобретает особенный аромат и тонкую игру пузырьков.
⠀
Новинка уже представлена в фирменных магазинах «Золотая Балка» в Крыму и Москве! А вы уже оценили премиальное игристое «Black Prince»? #золотаябалка #zolotayabalka"
846,"Правильно подавать вино – отдельный вид искусства. В нем вместо кисточек и холста – бокалы, а вместо красок – вина🥂 #золотаябалка #zolotayabalka"
847,"Когда погода еще по-весеннему переменчива, в бокале должно быть что-нибудь надёжное🥂 Например, уже знакомый каждому любимый брют «Золотая Балка»💛 #золотаябалка #zolotayabalka"
848,"Где девушки – там праздник! А где праздник – там #ZBFrizzante Rose❤️ Рекомендуем выбирать как аперитив, или сопроводить фруктами и легкими десертами🥂
#золотаябалка #zolotayabalka"
849,"Раскроем секрет - премиальное игристое Cuvee de Vitmer дарит весеннее настроение🥂
⠀
В его аромате раскрываются яркие тона цитрусовых и желтых яблок в сочетании с цветами акации и миндаля. Гармоничный вкус абрикосов и тропического личи балансирует с кислотностью и продолжительным сливочным послевкусием🍾
⠀
Обязателен для ценителей классических брютов!
#золотаябалка #zolotayabalka"
850,"В создании наших вины мы используем только передовые технологии от ведущих европейских компаний.
⠀
Процесс производства плотностью автоматизирован, но мы сохраняем контроль на каждом этапе. Ведь лучшие вина созданы людьми, а не машинами 🍇
#золотаябалка #zolotayabalka"
851,"Бокал, наполненный изысканным игристым #ZBMoscato Rose Semisweet - как тепло солнца в бокале, как легкое вдохновение, как пробуждение после зимы🌷
⠀
Яркие тона клубники и нотка розы рождают гармонию, ненавязчивую природную сладость и раскрывают богатую палитру мускатных тонов в бокале🥂 #золотаябалка #zolotayabalka"
852,"Долгожданная премьера 🥂 Презентация премиального игристого вина Zero Dosage «Black Prince» в ресторане «Золотая Балка» @zolotayabalka_rest!
⠀
22 марта в 20.00 мы приглашаем вас раскрыть тайну «затерявшего золота в бокале»!
⠀
Эксклюзивная коллекция премиального
игристого вина Zero Dosage «Black Prince» создана классическим шампанским методом с выдержкой на осадке более 2 лет и принадлежит к самой изысканной категории игристых вин Blanc de Blancs, созданных из одного сорта - винограда Шардоне🍇
⠀
Подчеркнуть характер премиального игристого помогут блюда от шеф-повара ресторана Николая Чернова! Сбор гостей в 20.00 по адресу ул. Крестовского, 66.
⠀
Бронируйте столики по телефону:
📲+7 978 267-96-70 (Ул.Крестовского,66)
#золотаябалка #zolotayabalka"
853,"Легенды и тайны всегда окутывали Балаклавскую бухту, но самая загадочная и увлекательная из них - легенда о затонувшем корабле «Black Prince»🥂
⠀
История берет начало 14 ноября 1854 года, когда над Черноморским побережьем Крыма разыгралась буря, в результате которой погибли более тридцати кораблей флота Англии. Но только одно судно будоражило воображение тысяч золотоискателей, исследователей и просто романтиков со всего мира – и имя его было «Prince»🌊
⠀
150 лет волны Черного моря надежно хранили тайну «Black Prince». И только во время плановой экспедиции на внешнем рейде Балаклавской бухты, среди прочих артефактов было обнаружено, пожалуй, самое ценное сокровище – карта плодородных земель в долине, известной сегодня под названием «Золотая Балка»🍇
⠀
С этого момента начинается новая история «Black Prince», а сегодня у вас есть уникальная возможность почувствовать вкус ""затонувшего золота"" в бокале...#золотаябалка #zolotayabalka"
854,"Шампанерия «Золотая Балка» по праву является одной из излюбленных локаций для фотосессий💛
⠀
Наша античная арка с незабываемым видом на виноградники круглый год появляется на фотографиях наших гостей, что не может не радовать!
⠀
Делитесь своими фото с тэгом #ZB_Agents, а мы с удовольствием сделаем репост самых красивых кадров к себе в профиль. Спасибо, что вы рядом! #zolotayabalka #золотаябалка"
855,"Давайте представим - вы открыли винный шкаф,  где хранятся все виды наших вин, но можно забрать только 3. Какое вино вы предпочтете и почему? Ждем ответы в комментарии🥂#золотаябалка #zolotayabalka"
856,"Обновление барного меню в @zolotayabalka_rest 🥂
⠀
В этом сезоне мы взяли за основу виски и по-новому взглянули на привычные сочетания👌🏼 Сауэер бузина на основе виски с ликером бузины, авторский коктейль «Весеннее цветение» с добавлением игристого Балаклава Pinot Noir и «Пряное яблоко» с водкой, настоянной на яблоках и #ZBFrizzante White.
⠀
Впереди 3 дня выходных, так что успей попробовать новинки первым! До встречи в нашем ресторане❤️
Забронировать столик: +79782679670.
#zolotayabalka_rest #zolotayabalka #золотаябалка"
857,Фотография заряжена праздником и игристым настроением💛 Чтобы почувствовать настроение рекомендуем после просмотра наполнить бокал брютом Rose Reserve из линейки «Балаклава»🥂 #золотаябалка #zolotayabalka
858,"Весна идет, весне дорогу🌸#zolotayabalka #золотаябалка"
859,"Главная премьера весны! «Золотая Балка» представляет премиальное игристое «Black Prince»🥂
⠀
Эксклюзивная коллекция премиального
игристого вина Zero Dosage «Black Prince» создана классическим шампанским методом с выдержкой на осадке более 2 лет и принадлежит к самой изысканной категории игристых вин Blanc de Blancs, созданных из одного сорта - винограда Шардоне.
⠀
Новое игристое «Black Prince» - это настоящее «затонувшее золото в
бокале» для истинных знатоков и ценителей
классического шампанского! В продаже только в фирменных магазинах🖤
#золотаябалка #zolotayabalka"
860,"Бокал брюта ""Балаклава"" Pinot Noir придётся по нраву обладателям тонкого вкуса: аромат ягод и трав в сочетании со специями и легким оттенком карамели🥂 Завершим этот день вместе? #золотаябалка #zolotayabalka"
861,"«Хотелось упасть в объятия Морфея, но Дионис оказался проворнее» - немного юмора в утреннюю ленту. Морфей, конечно, всё равно выиграет, но ведь истинное счастье в том, что есть здесь и сейчас🍷
#золотаябалка #zolotayabalka"
862,"Наш способ бороться с плохим настроением🥂Именно здесь рождается уникальный вкус любимых вин «Золотая балка». Посетить наш винный подвал вы можете во время экскурсии, которая завершится дегустацией самых популярных образцов игристых или тихих вин на ваш выбор!
⠀
Узнайте о волшебном процессе виноделия больше! Бронируйте удобное время для экскурсии по телефону: 8 800 500 06 40. #золотаябалка #zolotayabalka"
863,"На деловом языке есть тактика называемая «win-win» — когда обе стороны заинтересованы и довольны результатом🥂

Мы предпочитаем немного иную стратегию именуемую «win-wine» — безупречно решаем любые винные вопросы ко всеобщей радости. Вам тихое или игристое? Красное или белое? А может, желаете попробовать нашего премиального игристого Cuvee de Vitmer? ❤️ #золотаябалка #zolotayabalka"
864,"Встречать закаты лучше с бокалом игристого ""Балаклава"" Muscat❤️ Лучи уходящего солнца отразятся в бокале, а неповторимые мускатные ноты навсегда будут ассоциироваться с этим незабвенным моментом🥂
#золотаябалка #zolotayabalka"
865,"Дорогие женщины 🌷🌸
⠀
Поздравляем вас с самым весенним праздником - 8 марта 🥂 Будьте красивы, счастливы, дарите улыбки, радуйтесь и получайте замечательные впечатления. Вы очаровательны!
⠀
Сегодня в ресторане @zolotayabalka_rest мы подготовили для вас подарки - welcome-drink каждой гостье и букет цветов🌷
⠀
С праздником!
#zolotayabalka #золотаябалка"
866,Тонкость и грация виноградной лозы 🍇 #zolotayabalka #золотаябалка
867,"День цветов, улыбок и бесконечной женской красоты! Проведи 8 марта в ресторане @zolotayabalka_rest🌷
⠀
В программе - любимые блюда от шефа и музыкальное поздравление от группы Chelsea Band и DJ-сэт!
⠀
Каждая гостья в этот день получит бокал любимого игристого и букет первых весенних цветов🥂
⠀
Незабываемая атмосфера праздника и хорошее настроение - все, что нужно для идеальной вечерники!
⠀
Увидимся на празднике ❤
Бронируйте столики по телефонам:
📲+7 978 267-96-70 (Ул.Крестовского,66)"
868,"Время тюльпанов и мимоз!
В ожидании самого женственного праздника, мы подготовили 3 рекомендации по выбору вин для любой компании:
⠀
▫️ Love me tender❤️
Если этот день вы решили провести с любимым, вам отлично подойдет «Вино соблазна». Нет, это не фигура речи, а один из дегустационных терминов. Легкое и питкое, это вино призвано дополнить ваш вечер, а не стать его главным героем. Рекомендуем остановиться на Rose #ZBWine или игристом Pinot Noir «Балаклава».
⠀
▫️ Girls Just Want To Have Fun 🥂
Провести праздник в компании подруг – беспроигрышный вариант! Как раз для таких поводов и была создана линейка #ZBFrizzante! А для любительниц тихих вин отлично подойдет освежающий Riesling #ZBWine.
⠀
▫️ Home, sweet home🌷
Порой не хочется шумных вечеринок или романтических свиданий. А принять расслабляющую ванну и посмотреть любимый сериал - с удовольствием! Дополнить атмосферу поможет бокал красного вина #ZBWine Bastardo!
⠀
А какое вино вы выбрали для праздника? Поделитесь в комментариях! #zolotayabalka #золотаябалка"
869,"Встречаем Масленицу в @zolotayabalka_rest!
⠀
Всю неделю мы угощаем ароматными ажурными блинчиками. В качестве начинки мы подобрали знакомые каждому с детства сочетания: сгущенка, сметана, гречишный мед и домашнее варенье.
⠀
Разделите этот праздник с нами и почувствуйте настроение весны!
⠀
Ждем каждый день с 12.00 ❤
Забронировать столик: +79782679670
#zolotayabalka_rest #zolotayabalka #золотаябалка"
870,"Корк-тизер — это человек, который постоянно говорит о том, что он откроет бутылку вина, но никогда этого не делает.

Будь человеком, не будь корк-тизером, тем более когда октрыть нужно бутылку «Золотой Балки»! Cheers🥂 #золотаябалка #zolotayabalka"
871,"Мы надеемся, вы сейчас сидите где-нибудь в уютном месте с близкими людьми, а в руках у вас бокал белого #ZBWine Riesling🥂 Если это не так, то воспринимайте вышесказанное как руководство к действию. Хорошего вечера✨ #золотаябалка #zolotayabalka"
872,"Давайте поиграем! Знаете, что общего у #ZBSpumante и моря? Пишите свои варианты в комментариях🥂
#золотаябалка #zolotayabalka"
873,Дитя заката🥂 #золотаябалка #zolotayabalka
874,"#repost from @zolotayabalka_rest 
.   .   .
Мы начинаем новый сезон!  Мы полны сил и желания вас удивлять,  радовать  обновлённым меню нашего Шефа и бара🍷
⠀
С 1 марта мы открываем свои двери для всех ценителей вкусных бизнес-ланчей, ужинов и нашей уютной атмосферы в сердце виноградников [club130270884|@zolotayabalka]. Мы соскучились и с нетерпением будем ждать вас ежедневно с 12.00 и до последнего гостя.
До встречи🥂
#золотаябалка #zolotayabalka"
875,"Жизнь слишком коротка, чтобы пить плохие вина🥂 Не совершайте ошибок, и выбирайте вина ""Золотая Балка""❤️
#золотаябалка #zolotayabalka"
876,"Дегустация – как первое свидание с вином🍷
⠀
Вы только знакомитесь друг с другом, узнаете особенности и испытываете трепет, когда первый раз прикасаетесь друг к другу.
⠀
А с каким вином вы вместе с «первого свидания»? Поделитесь в комментариях🥂
#золотаябалка #zolotayabalka"
877,"В парфюмерии существует особая нота, которая носит название «красное вино»❤️

Именно она добавляет духам стойкости и служит связующим звеном между основными компонентами. В точности как и наши вина #ZBWine - неотъемлемая составляющая на любом событии🍷 #золотаябалка #zolotayabalka"
878,"Не откладывайте на завтра то, что можно сделать сегодня. Например, не надо дожидаться пятницы, чтобы позволить себе брют ""Золотая Балка"" прямо сейчас🥂 #золотаябалка #zolotayabalka"
879,Балаклава — это всегда про море и хорошие вина🥂  #золотаябалка #zolotayabalka
880,Если ты не рад началу недели — ты не с того начал. Начни с игристого #ZBSpumante 🥂#золотаябалка #zolotayabalka
881,"В преддверии самой ожидаемой ночи для киноманов, мы вспомнили цитату великого режиссера Федерико Феллини: 
""Хорошее вино — как хороший фильм: быстро заканчивается, оставляя великолепное послевкусие; с каждым глотком в нем открывается что-то новое, и как это часто бывает с фильмами — оно рождается и возрождается в каждом новом ценителе""📽 Как вы думаете, кто получит премию ""Оскар"" за лучший фильм? 🥂#золотаябалка #zolotayabalka"
882,"Сильные, надежные, мужественные! 
⠀
Поздравляем вас с самым мужественным праздником - Днём Защитника Отечества! Желаем вам всегда быть поддержкой и защитой родным и близким🥂
⠀
Надеемся, в этот день вы получили только нужные и, конечно же, брЮтальные, подарки! #zolotayabalka #золотаябалка"
883,Живой коралл - главный цвет 2019 года по версии института Pantone🧡❤️ #ZBWine всегда в тренде! #золотаябалка #zolotayabalka
884,"Весна уже близко! Но пока за окном устойчивый минус, мы рекомендуем согреваться глинтвейном❄️
⠀
Держите рецепт ароматного сочетания белого вина с цитрусовым ликером. Эксклюзивно от #золотаябалка🥂
⠀
▫️Бутылка белого вина #ZBWine - 750 мл.
▫️Сахар - 75 гр.
▫️Лимонная цедра - по вкусу
▫️Корица в палочках - 2-3 шт.
▫️Цитрусовый ликер - 150 мл.
⠀
Все томить под крышкой на малом огне в течении 20-30 минут! Подавать строго с хорошим настроением🥳
#золотаябалка #zolotayabalka"
885,Игристая палитра🥂 #золотаябалка #zolotayabalka
886,"Отличная новость для настоящих брЮталов🥂
⠀
Для того, чтобы главный мужской праздник прошел по-настоящему мощно, важна правильная стратегическая подготовка! 22 февраля гостей бутика крымских вин «Золотая Балка» будет ждать специальная программа, которую оценят не только настоящие брЮталы, но и их леди, которые смогут найти для своих защитников нужные подарки🎁
⠀
Каждый покупатель в этот день становится участником лотереи с самыми нужными мужскими подарками. А в 19:30 начнется дегустация крымских портвейнов вместе с  бренд-амбассадором Максимом Ткачибородой!
#золотаябалка #zolotayabalka"
887,"Неважно, знаток ли вы в виноделии или просто любитель - в Шампанерии найдётся экскурсионная программа для каждого!
⠀
Для новичков мы предлагаем посетить экскурсионный тур «Знакомство с «Золотой Балкой»», где каждый познакомится с основами виноделия🍇
⠀
Для более опытных групп мы рекомендуем увлекательную игру «Нос вина»! Ваша задача - угадать аромат, не видя его названия. В палитре собрано более 50 оттенков, встречающихся в вине: от земляных до легких фруктовых🥂
⠀
Записаться на экскурсию по телефону: 8-800-500-0650 или на нашем сайте ZB-tour.ru
#золотаябалка #zolotayabalka"
888,"Даже у самого хорошего вина есть один существенный недостаток - его всегда мало! Чтобы не этого допускать, нужно готовиться заранее, и всегда держать в домашней коллекции бутылочку любимого вина 🥂
#золотаябалка #zolotayabalka"
889,Когда настроение выходит за рамки! #золотаябалка #zolotayabalka
890,В ожидании весны🍇 #золотаябалка #zolotayabalka
891,"Цветы и Rose – идеальное сочетание для особых случаев🌸
⠀
Букет  считается классическим способом выражения чувств, но мы уверены, что ни один романтический повод не обойдётся без игристого🥂
⠀
Остановив свой выбор на жемчужном  вине #ZBFrizzante Rose, вы попадёте прямо в цель.
#золотаябалка #zolotayabalka"
892,"Говорят, что шоколад отлично поднимает настроение. Безусловно! Но ничто не усилит этот эффект лучше, чем бокал, наполненный #ZBWine Saperavi🍷
#золотаябалка #zolotayabalka"
893,Желаем вам разделить этот вечер с самыми близкими🥂 А какое игристое «Золотой Балки» дополняет вашу романтическую атмосферу? #zolotayabalka #золотаябалка
894,"Начинаем новый сезон🍇
Сегодня на наших виноградниках прошёл ежегодный праздник в честь святого Трифона, посвящённый старинному обычаю виноградарей.
⠀
Как гласит древняя легенда, в день смерти мученика Трифона , виноградари подрезали лозы к сезону и внезапно подверглись нашествию вредителей, которые стали поедать молодые побеги. Отчаявшись спасти будущий урожай самостоятельно, виноградари обратились с молитвой к Трифону, прося святого избавить их от этой напасти.
⠀
Чудесным образом насекомые исчезли, и в благодарность за это волшебство день обрезания виноградной лозы болгары назвали Праздником Трифона Зарезана (в переводе на русский – Трифона Подрезанного).
⠀
На наших виноградниках ценят обычаи предков, и ежегодно, 14 февраля, подрезают лозы и освещают виноградники перед началом нового сезона🥂 #золотаябалка #Zolotayabalka"
895,"Для того чтобы добиться оптимального охлаждения шампанского погрузите бутылку на полчаса в ведёрко, наполненное льдом или положить её на 4 часа на нижнюю полку холодильника🥂 Оптимальная температура поможет сохранить истинные вкусовые качества игристого! #золотаябалка #zolotayabalka"
896,".  .  .
#repost from @georgievas❤️
Абсолютно согласна с уважаемыми Минпромторгом, Минсельхозом и Роскачеством, по их мнению #ZBWine Rose вошло в тройку лучших в России. ✊🏼 Искупайте нас в овациях 🥂💗[club130270884|@zolotayabalka] #севастополь #балаклава #золотаябалка"
897,"Для больших и маленьких поводов созданы разные объемы любимых игристых вин из линейки ""Балаклава"" 🥂
Какой подходит вашей компании? Поделитесь в комменатриях! #золотаябалка #zolotayabalka"
898,"#ZBLove - это вместе любить одно и тоже вино🥂
⠀
14 февраля для тех, кто влюблён, (и нe только в виноделие), бутик крымских вин «Золотая Балка» подготовил самую романтичную дегустацию и подарки!
 ⠀
Для каждого - бокал #ZBMoscato в подарок!  Для энтузиастов - фотозона с воздушными шарами и подарки. Сделайте фото, выложите его в социальных сетях с нашими хештегами и выиграйте специальные призы от «Золотой Балки»!
⠀
А в 19:30 пройдёт дегустация, в ходе которой каждый сможет найти свою вторую винную половинку!
⠀
Ждём вас по адресу г. Москва, ул. Люсиновская 36/50.
Записаться на дегустацию : +7 (985) 169-81-67🍷
#золотаябалка #zolotayabalka"
899,"Остановись, мгновенье, ты прекрасно!  #золотаябалка #zolotayabalka"
900,"Отправляясь в путешествие, не забудьте взять любимое игристое из нашей жемчужной коллекции #ZBFrizzante 🥂 После отдыха его вкус будет освежать в памяти приятные воспоминания!#zolotayabalka #золотаябалка"
901,"Нельзя просто взять и перестать наблюдать за тем, как меняется отражение бескрайнего неба и пейзажей наших виноградников🥂
⠀
Записаться на экскурсию и своими глазами увидеть этот невероятный процесс можно по телефону: 8-800-500-0650 или на нашем сайте  ZB-tour.ru
#zolotayabalka #золотаябалка"
902,"Лето это - настроение. Создавайте его в любое время года вместе с бокалом вина ""Золотая Балка"", в котором собраны самые лучшие летние воспоминания!
#золотаябалка #zolotayabalka"
903,"Красное игристое «Золотая Балка» подобно трем мушкетёрам! В нем мирно «уживаются» благородный дворянин Пино Нуар, популярный месье Каберне Совиньон и неповторимый и харизматичный Бастардо Магарачский. А вы уже знакомы с этой компанией?🥂
#zolotayabalka #золотаябалка"
904,В ожидании будущих вин 🥂 #zolotayabalka #золотаябалка
905,"Вкус коллекционного игристого, созданного по классической французской технологии Champenoisе, невозможно спутать ни с чем. Почувствуйте оттенки спелых абрикосов, тропических плодов и легкое сливочное послевкусие в бокале брюта премиальной линейки Cuvée de Vitmer🥂 #золотаябалка #zolotayabalka"
906,"А вы знали, что наливать игристое в бокал желательно медленно и в два приема, тогда образуется красивый тонкий перляж, который продержится гораздо дольше обычного? А чтобы полностью оценить букет и всё богатство вкуса, наполняйте бокал на две трети🥂 #zolotayabalka #золотаябалка"
907,"А вы уже успели побывать в нашем новом бутике крымских вин «Золотая Балка» в Москве?
⠀
Если ещё нет, то вот вам несколько причин сделать это как можно скорее:
⠀
🍾 Выбрать вина и крепкие напитки от лучших крымских производителей по приятным ценам;
🍾 Насладиться самым полным ассортиментом «Золотой Балки»;
🍾 Попасть на дегустацию с нашими бренд-амбассадорами или мастер-классы крымских  виноделов;
🍾Сделать фото на фоне самой большой винной карты Крыма.
⠀
Ждём вас по адресу ул. Люсиновская 36/50"
908,Почувствуй атмосферу🥂 #zolotayabalka #золотаябалка
909,"Февраль - самое время говорить о трендах нового весенне-летнего сезона! Мы составили свой ТОП-3 самых «универсальных» варианта для похода на пляж или пикник, которые легко сочетаются с разными блюдами🥗
⠀
🥂 #ZBFrizzante Rose
Безусловный фаворит прошлого года, который бывал на море с нашими подписчиками чаще, чем вся команда «Золотой Балки». Отлично дополняет как спелые фрукты, так и курицу на гриле.
⠀
🥂 “Балаклава” Chardonnay
 Это игристое “дружит” с большим количеством блюд: начиная от мягких сыров и заканчивая жареным палтусом. Единственное «Но»: вес бутылки из линейки «Балаклава» чуть больше, чем у других.
⠀
🍷 #ZBWine Saperavi
Этот крымчанин с грузинскими корнями найдёт общий язык с любым блюдом! Особенно хорошо дружба складывается с говяжьими стейками, но и с твердыми сырами (и даже с шоколадом!) диалог пройдет успешно.
⠀
А какие фавориты у вас? Что хотели бы попробовать в этом году? #золотаябалка #zolotayabalka"
910,"Винная пробка — это способ вина ""дышать"" и развиваться🥂 Это первое знакомство и часть ритуала, где пробка занимает едва ли не первостепенное место! #золотаябалка #zolotayabalka"
911,"По окончанию процесса брожения, когда весь собранный осадок опускается на временную пробку, наступает очередь дегоржера приступить к делу!
⠀
Мастер опускает горлышко бутылки в раствор гликоля и после замерзания осадка виртуозно откупоривает бутылку под напором с минимальными потерями вина.
⠀
После этого бутылка укупоривается пробкой и фиксируется мюзле. Этот процесс является одной из стадий создания классических игристых линейки Cuvee de Vitmer🥂
#золотаябалка #zolotayabalka"
912,Вечеринка в стиле #ZB🥂#zolotayabalka #золотаябалка
913,"Игристое исключительно тем, что производится в самых разных объёмах!
⠀
Классический  объем составляет 0,75 л и называется просто «бутылка». Следующим идёт полуторалитровый объём «магнум», он идеально подходит для праздников и больших компаний🥂
⠀
Рекордсменами по своим размерам стали бутылки «Примат» и «Мидас».
«Примат» вмещает в себя объём 27 литров, равный 36 классическим бутылкам, а ее вес сотавляет 65кг.
Но еще более впечатляющими параметрами обладает «Мидас».
⠀
Она вмещает целых 30 литров шампанского, что равняется 40(!) бутылкам стандартного  размера ⚡️
#золотаябалка #zolotayabalka"
914,"Хранению вин в наших подвалах уделяется особое внимание. 
Горизонтальное положение бутылки является обязательным, дабы избежать высыхания натуральной пробки и контакта вина с воздухом. Именно в таком положении пробка соприкасается с напитком и вино «дышит»🥂
#золотаябалка #zolotayabalka"
915,"Новый завод объединил в себе производственные масштабы и уникальный туристический объект, который удивит как крымчан, так и гостей полуострова. 
⠀
Этапы создания вин «Золотая Балка» теперь полностью открыты для туристов. Можно подняться на смотровую площадку нового комплекса и своими глазами увидеть весь процесс производства🥂
⠀
Записаться на экскурсию и узнать подробности можно по телефону: 8-800-500-0650 или на нашем сайте ZB-tour.ru🍷
#zolotayabalka #золотаябалка"
